posicao_papel,ticker,horizonte,janela,episodios,protecao,prot_lo,taxa_base,passa_barra,corte,divisoes_usadas,divisoes_oferecidas,pregoes_medidos,inicio_medido,fim_medido
1,EGIE3,3,171,42,0.9761904761904762,0.8743414428250078,0.5153344602752958,True,-0.8352960948236305,4,4,4141,2010-01-04,2026-09-01
1,EGIE3,5,118,42,0.9761904761904762,0.8743414428250078,0.5250060401063059,True,-0.8740277419765117,4,4,4139,2010-01-04,2026-08-28
1,EGIE3,5,120,42,0.9761904761904762,0.8743414428250078,0.5250060401063059,True,-0.8769758097133902,4,4,4139,2010-01-04,2026-08-28
1,EGIE3,3,173,42,0.9761904761904762,0.8743414428250078,0.5153344602752958,True,-0.8325278509721533,4,4,4141,2010-01-04,2026-09-01
1,EGIE3,3,89,54,0.9629629629629629,0.8725282277690526,0.5153344602752958,True,-0.9113871213461794,4,4,4141,2010-01-04,2026-09-01
1,EGIE3,3,175,41,0.975609756097561,0.8714459796158537,0.5153344602752958,True,-0.8351636710177712,4,4,4141,2010-01-04,2026-09-01
1,EGIE3,5,121,41,0.975609756097561,0.8714459796158537,0.5250060401063059,True,-0.8757194965059181,4,4,4139,2010-01-04,2026-08-28
1,EGIE3,5,125,41,0.975609756097561,0.8714459796158537,0.5250060401063059,True,-0.8670324620660572,4,4,4139,2010-01-04,2026-08-28
1,EGIE3,3,174,41,0.975609756097561,0.8714459796158537,0.5153344602752958,True,-0.8336147548192416,4,4,4141,2010-01-04,2026-09-01
1,EGIE3,5,143,41,0.975609756097561,0.8714459796158537,0.5250060401063059,True,-0.8380033803517726,4,4,4139,2010-01-04,2026-08-28
1,EGIE3,5,144,41,0.975609756097561,0.8714459796158537,0.5250060401063059,True,-0.8366598027669689,4,4,4139,2010-01-04,2026-08-28
1,EGIE3,5,146,41,0.975609756097561,0.8714459796158537,0.5250060401063059,True,-0.8377983827453791,4,4,4139,2010-01-04,2026-08-28
1,EGIE3,5,127,41,0.975609756097561,0.8714459796158537,0.5250060401063059,True,-0.8611740150343925,4,4,4139,2010-01-04,2026-08-28
1,EGIE3,5,145,41,0.975609756097561,0.8714459796158537,0.5250060401063059,True,-0.8373374196930078,4,4,4139,2010-01-04,2026-08-28
1,EGIE3,5,126,40,0.975,0.8684141415172343,0.5250060401063059,True,-0.8627826793172435,4,4,4139,2010-01-04,2026-08-28
1,EGIE3,5,123,40,0.975,0.8684141415172343,0.5250060401063059,True,-0.8699201623561597,4,4,4139,2010-01-04,2026-08-28
1,EGIE3,5,122,40,0.975,0.8684141415172343,0.5250060401063059,True,-0.8743987992265708,4,4,4139,2010-01-04,2026-08-28
1,EGIE3,5,141,39,0.9743589743589743,0.865236078440502,0.5250060401063059,True,-0.8424996966639763,4,4,4139,2010-01-04,2026-08-28
1,EGIE3,5,139,39,0.9743589743589743,0.865236078440502,0.5250060401063059,True,-0.8419819827287324,4,4,4139,2010-01-04,2026-08-28
1,EGIE3,5,154,39,0.9743589743589743,0.865236078440502,0.5250060401063059,True,-0.836054163569853,4,4,4139,2010-01-04,2026-08-28
1,EGIE3,5,153,39,0.9743589743589743,0.865236078440502,0.5250060401063059,True,-0.8373739082363201,4,4,4139,2010-01-04,2026-08-28
1,EGIE3,5,142,39,0.9743589743589743,0.865236078440502,0.5250060401063059,True,-0.8419584960035992,4,4,4139,2010-01-04,2026-08-28
1,EGIE3,5,140,39,0.9743589743589743,0.865236078440502,0.5250060401063059,True,-0.8417138705169975,4,4,4139,2010-01-04,2026-08-28
1,EGIE3,5,124,39,0.9743589743589743,0.865236078440502,0.5250060401063059,True,-0.8645197642413757,4,4,4139,2010-01-04,2026-08-28
1,EGIE3,5,199,38,0.9736842105263158,0.8619009702075799,0.5250060401063059,True,-0.8119567945024022,4,4,4139,2010-01-04,2026-08-28
1,EGIE3,5,138,38,0.9736842105263158,0.8619009702075799,0.5250060401063059,True,-0.8394395878683852,4,4,4139,2010-01-04,2026-08-28
1,EGIE3,5,157,38,0.9736842105263158,0.8619009702075799,0.5250060401063059,True,-0.8344135559338284,4,4,4139,2010-01-04,2026-08-28
1,EGIE3,5,155,38,0.9736842105263158,0.8619009702075799,0.5250060401063059,True,-0.8333811203152243,4,4,4139,2010-01-04,2026-08-28
1,EGIE3,5,158,38,0.9736842105263158,0.8619009702075799,0.5250060401063059,True,-0.8339439516950407,4,4,4139,2010-01-04,2026-08-28
1,EGIE3,5,200,38,0.9736842105263158,0.8619009702075799,0.5250060401063059,True,-0.8080135322255261,4,4,4139,2010-01-04,2026-08-28
1,EGIE3,3,131,49,0.9591836734693877,0.8602128129775362,0.5153344602752958,True,-0.8555554423973124,4,4,4141,2010-01-04,2026-09-01
1,EGIE3,5,160,37,0.972972972972973,0.858396904388842,0.5250060401063059,True,-0.8314886419448275,4,4,4139,2010-01-04,2026-08-28
1,EGIE3,5,159,37,0.972972972972973,0.858396904388842,0.5250060401063059,True,-0.8345233679648306,4,4,4139,2010-01-04,2026-08-28
1,EGIE3,5,161,37,0.972972972972973,0.858396904388842,0.5250060401063059,True,-0.8306588866118793,4,4,4139,2010-01-04,2026-08-28
1,EGIE3,5,156,37,0.972972972972973,0.858396904388842,0.5250060401063059,True,-0.8346744248972675,4,4,4139,2010-01-04,2026-08-28
